price_per_retrieval,publisher_payout_pct,platform_take_pct,payment_processing_cost,infra_cost,support_cost_alloc,legal_compliance_alloc,gross_margin_pct,contribution_margin_pct,breakeven_monthly_volume,notes,assumptions
0.01,80%,20%,0.30029,0.00050,0.00100,0.00100,-2987.9%,-3007.9%,not viable,"Card charged per retrieval; included to show failure case.","Stripe-style card fee modeled as 2.9% + $0.30 per retrieval; excludes refunds and chargebacks; no sane operator should launch this."
0.01,70%,30%,0.00008,0.00050,0.00050,0.00050,24.2%,14.2%,14084507,"One-cent commodity call with ACH-funded prepaid balance.","Payment fee assumes $1000 ACH top-up over 100000 retrievals at 0.8%; fixed monthly overhead assumed at $20000; requires extreme automation and low support."
0.01,70%,30%,0.00100,0.00050,0.00050,0.00050,15.0%,5.0%,40000000,"One-cent x402-style direct micropayment.","Payment cost assumes Coinbase/CDP facilitator after free tier at $0.001/transaction; ignores wallet/KYB/tax support; fixed monthly overhead assumed at $20000."
0.05,80%,20%,0.00059,0.00100,0.00200,0.00100,16.8%,10.8%,4621072,"Five-cent retrieval funded from card prepaid wallet.","Payment fee assumes $100 wallet top-up over 2000 retrievals; fixed monthly overhead assumed at $25000; viable only with self-serve support."
0.05,70%,30%,0.00040,0.00100,0.00200,0.00100,27.2%,21.2%,2358491,"Five-cent retrieval billed monthly by ACH/invoice.","Payment fee assumes ACH/invoice aggregation; fixed monthly overhead assumed at $25000; still needs multi-million monthly volume to cover team."
0.25,80%,20%,0.00100,0.00200,0.00500,0.00300,18.8%,15.6%,769231,"Twenty-five-cent vertical data call with 80/20 split.","Payment assumes batched ACH/invoice; fixed monthly overhead assumed at $30000; first plausible low-end exchange price."
0.25,75%,25%,0.00100,0.00200,0.00500,0.00300,23.8%,20.6%,582524,"Twenty-five-cent retrieval with buyer platform fee on top of supplier asking price.","Publisher receives effective $0.1875; platform fee is explicit; fixed monthly overhead assumed at $30000."
1.00,80%,20%,0.00300,0.00300,0.02000,0.01000,19.4%,16.4%,304878,"One-dollar high-value structured-data retrieval under 80/20 economics.","Payment assumes invoice/ACH aggregation rather than card per request; fixed monthly overhead assumed at $50000; excludes sales commission."
1.00,70%,30%,0.00300,0.00300,0.02000,0.01000,29.4%,26.4%,189394,"One-dollar retrieval with 30% buyer-side platform fee/markup.","Best fit for compliance, private-company, freight, or legal snippets where platform adds audit/routing value; fixed overhead $50000."
10.00,85%,15%,0.00500,0.01000,0.10000,0.05000,14.9%,13.4%,59925,"Ten-dollar premium document/profile retrieval with publisher leverage.","Payment assumes enterprise invoice/ACH; high publisher payout reflects scarce source; fixed monthly overhead assumed at $80000."
10.00,70%,30%,0.00500,0.05000,0.20000,0.10000,29.5%,26.5%,30246,"Ten-dollar enriched retrieval with transformation and stronger platform value.","Higher infra/support allocation covers large docs, normalization, QA, audit, and buyer success; fixed monthly overhead assumed at $80000."
0.20,70%,30%,0.00001,0.00200,0.01000,0.01000,29.0%,19.0%,covered by annual minimum,"$100k annual enterprise contract with 500k included retrievals; effective $0.20 each.","Payment assumes ACH cost negligible per retrieval; contribution excludes first-year sales commission of roughly 10%-15% of ACV."
0.50,75%,25%,0.00001,0.00300,0.02000,0.02000,24.4%,16.4%,covered by annual minimum,"$250k annual enterprise contract with 500k included retrievals; effective $0.50 each.","Higher publisher payout and compliance allocation; intended for governed multi-source vertical data access."
2.00,80%,20%,0.00005,0.01000,0.10000,0.05000,19.5%,12.0%,covered by annual minimum,"$200k annual enterprise contract with 100k high-value retrievals; effective $2.00 each.","Modeled for legal/compliance/finance records where support and human review burden are high; annual minimum funds fixed costs."
