id,failure_mode,category,likelihood,impact,early_warning,mitigation,fatal_to_thesis,notes
"FM-01","Cannot reliably detect data-caused failures","Technical / thesis","H","H","Expert review finds many triggers are requirements, implementation, access, or reasoning failures.","Precision-first classifier; human approval; explicit missing-info schema; compare against public docs and user clarification.","Yes","Fatal to horizontal thesis unless one vertical has reliable labels."
"FM-02","False-positive failure-node triggers waste budget","Technical / UX","H","H","Developers disable the tool after surprise charges or low-value calls.","Buyer approval; spend caps; free-source check; conservative thresholds; refund policy.","Potentially","False positives create both economic and trust failure."
"FM-03","False negatives make the broker irrelevant","Technical / adoption","M","M","Buyer says the broker missed the moments where it would have helped.","Begin with explicit annotations and IDE commands; tune from labeled pilot traces.","No","Recall can improve after a precision-first pilot."
"FM-04","Outcome measurement is too noisy","Measurement","H","H","Success stories cannot survive controlled before/after evaluation.","Fixed task suite; randomized baselines where feasible; expert labels; accepted/rejected diff tracking.","Potentially","Fatal to outcome-ranking moat; may leave services business."
"FM-05","Buyers will not pay broker markup","Demand / economics","H","H","Procurement asks for direct vendor introduction or pass-through pricing.","Pre-negotiate renewal price; sell audit/provenance/control-plane value.","Yes","Core brokerage economics fail if this persists."
"FM-06","$0.01-per-call economics cannot support the company","Economics","H","H","Usage grows but gross profit per account remains trivial.","Price per resolved workflow or enterprise control-plane subscription; batch settlement.","Yes","Fatal to micropayment model; not necessarily to enterprise SaaS."
"FM-07","Sales cycle is too long for a startup pilot","GTM","H","H","Thirty-day test becomes six-month vendor review.","Synthetic/deidentified tasks; existing entitlements; one data owner; paid design partner.","Potentially","Common in healthcare, finance, legal, and government."
"FM-08","Platforms internalize failure detection","Platform","H","H","Agent platforms add native missing-context or recommended-tool flows.","Treat hosts as channels; build vertical supply, rights, and outcome evidence.","Yes","Coding-agent detection likely belongs inside Cursor/Claude Code/Copilot/etc."
"FM-09","Observability companies expand into classification","Platform / competition","H","M","Existing LangSmith/Langfuse/Braintrust/Datadog stack identifies the failure class.","Integrate with observability; own rights registry and source-resolution economics.","Potentially","Fatal to observability-only product."
"FM-10","Context7-class free substitutes eat the public-docs wedge","Competition / substitutes","H","H","Most triggers involve public libraries, SDKs, or docs available through Context7-like tools.","Exclude public docs; require non-public, licensed, outcome-critical vertical data.","Yes","Public-doc wedge is already compressed."
"FM-11","Data owners expose direct MCP/API endpoints","Supply / competition","H","H","OpenSanctions, Reuters, Stack Overflow, PitchBook, or ICC-like sources offer direct connectors.","Provide cross-source routing, entitlement normalization, eval evidence, and policy controls.","Potentially","Fatal if buyer needs only one source."
"FM-12","Direct deals bypass marketplace","Supply / demand","H","H","Legal teams remove broker from renewal path; source asks buyer to contract directly.","Target mid-size buyers needing multiple sources and agent-specific audit.","Yes","Weakens generic marketplace."
"FM-13","Rights holders refuse reseller or agent-use terms","Supply / legal","H","H","Supplier permits only human UI use or internal API use.","Source-hosted queries; no raw corpus; no training; output limits; provider approval rights.","Yes","No supply means no broker."
"FM-14","Chain-of-title failure","Legal / trust","M","H","Supplier contract has carveouts, exclusions, or no AI/automated-use warranties.","Rights diligence; representations; indemnities; source exclusions; counsel review.","Potentially","One public chain-of-title incident can poison the market."
"FM-15","HIPAA/PHI and healthcare compliance overwhelm RCM pilot","Legal / vertical","H","H","Pilot cannot use real claims or model providers without lengthy BAA/security review.","Use synthetic/deidentified fixtures; avoid PHI first; prefer compliance/KYB first.","No","Fatal to healthcare-first speed, not all verticals."
"FM-16","Privacy/GDPR/permissible-purpose restrictions block use","Legal","M","H","Privacy team refuses trace export or automated processing of personal data.","Data minimization; DPA; processor mapping; subject-bounded queries; audit logs.","Potentially","High risk in KYB, identity, credit, insurance, and employment."
"FM-17","Moat not preservable for rights holders","Supply / security","H","H","Provider demands impractically low query caps or forbids production output retention.","Answer-only APIs; thresholds; rate limits; anomaly detection; permitted derived-work terms.","Yes","Fatal if no acceptable answer shape exists."
"FM-18","Multi-homing compresses margins","Economics / competition","H","M","Providers list on Snowflake, Cloudflare, xpay, direct MCP, and broker simultaneously.","Compete on workflow/audit/eval value; avoid toll-booth assumptions.","Potentially","Fatal to network-effect story."
"FM-19","Platform or cloud marketplaces tax away economics","Platform / economics","M","M","Enterprise buyer requires procurement through a cloud or agent marketplace.","Price for channel margin; use marketplaces after direct pilot proof.","No","Caps upside and margin."
"FM-20","Buyer already has entitlements","Demand / product","H","M","Buyer asks to connect existing account instead of buying through broker.","Support BYO-license mode with SaaS fee and entitlement checks.","Potentially","Reframes brokerage into integration/control plane."
"FM-21","Missing data is buyer-owned, not externally purchasable","Thesis","H","H","Traces point to internal databases, credentials, schemas, or business policy.","Proceed only when external rights holder is identifiable.","Yes","Broad thesis shrinks materially."
