vertical,rank,freq_coding_workflows,freq_data_failures,economic_cost_poor_automation,proprietary_data_availability,difficulty_reproducing,rights_holder_identifiability,rights_holder_license_willingness,buyer_willingness_to_pay,temp_vs_permanent_value,moat_preservation_ability,legal_regulatory_complexity,privacy_sensitivity,tech_integration_difficulty,existing_apis_mcp,strength_free_substitutes,sales_cycle_length,expected_data_spend_per_task,potential_platform_margin,measurability_improvement,pilot_90day_suitability,composite_score,notes
Compliance/sanctions KYB automation coding,1,4,5,5,4,4,5,4,5,5,4,3,3,3,4,2,3,4,4,5,5,83,"Score convention: 1-5 integers; higher is better except legal_regulatory_complexity, privacy_sensitivity, tech_integration_difficulty, strength_free_substitutes, and sales_cycle_length where higher is worse and composite uses 6-score. Rank reflects composite plus pilot judgment and the recommended top-five ordering."
Healthcare RCM / claims edit automation coding,2,5,5,5,4,5,5,3,5,4,4,5,5,4,4,2,5,5,3,5,4,75,"Very high value and measurability, but high HIPAA/PHI/legal burden and Optum/Change-style concentration risk."
Construction/building-code compliance automation,3,4,4,4,4,4,5,3,4,4,4,3,1,3,3,3,4,3,4,4,4,74,"Good vertical pilot if scoped to one jurisdiction/code family and section-scoped citation access."
Legal research automation / citation-grounded legal tech coding,4,4,4,4,5,4,5,3,4,4,4,4,3,3,4,3,4,4,3,4,4,73,"Strong citation/citator failure node, but legal publishers have direct enterprise channels and their own AI products."
Logistics rate/routing automation,5,4,4,4,3,3,3,3,4,5,3,2,2,3,4,3,3,3,3,4,4,71,"Good temporary-access value for expiring rates and routes; buyer-owned TMS/carrier data is a major substitute."
Tax/payroll/local compliance automation,6,4,4,5,4,4,5,3,5,4,4,5,4,4,4,3,5,4,3,5,3,70,"High-value rules workflow; liability, privacy, and long sales cycles make this less suitable than the top five."
Finance/market-data automation,7,3,4,5,5,4,5,3,5,3,4,5,4,4,5,3,5,5,3,4,2,69,"Large data budgets and mature APIs, but direct contracts and redistribution limits leave little room for a broker."
Private-company research automation,8,4,4,4,5,4,5,2,4,4,3,3,3,3,4,3,5,4,2,4,3,69,"Good enrichment/diligence use cases; premium vendors protect access and free web/BYO subscription substitutes are real."
Procurement/supplier/SKU automation,9,4,3,4,4,3,4,3,4,4,3,2,2,4,3,3,4,3,3,4,3,67,"Promising if one category has scarce supplier/SKU data; many blockers are buyer-owned ERP and supplier master data."
Industrial equipment parts/maintenance automation,10,3,3,4,4,4,4,3,2,4,4,2,1,4,3,3,4,3,3,3,2,65,"OEM rights are identifiable and moat-protectable, but licensing willingness and integration quality are uncertain."
Travel fare/availability/rules automation,11,3,3,3,4,3,4,3,3,5,3,2,2,4,5,4,3,3,3,4,3,67,"High freshness value and mature APIs, but thin margins and direct GDS/NDC relationships weaken broker economics."
Automotive repair/parts/service automation,12,3,3,3,4,3,4,3,3,4,3,2,1,3,4,4,3,2,3,3,4,66,"Good fitment/TSB/labor-time pilot candidate; free forums/manuals and OEM portal restrictions constrain value."
Scientific research/lab literature/data automation,13,3,3,4,5,4,5,3,3,3,4,4,3,3,4,3,4,3,3,3,3,66,"Strong licensed content but often research assistance rather than coding-agent failure resolution."
Market intelligence automation,14,4,3,4,5,3,5,3,3,4,3,3,2,3,4,5,4,3,3,2,2,64,"Good data market; weaker coding-specific failure node and strong public/web substitutes for shallow tasks."
Media/publisher rights automation,15,3,3,3,5,4,5,3,3,4,4,4,2,3,3,3,4,3,3,2,2,64,"Relevant to licensed inference/content workflows but adjacent to coding-agent failure resolution."
Insurance underwriting/claims automation,16,3,4,5,4,4,4,3,3,4,3,4,4,4,3,3,5,4,3,4,2,63,"High value but privacy, regulation, incumbent data contracts, and buyer-owned historical data make pilots hard."
Sports data/odds/statistics automation,17,2,3,3,4,3,4,3,3,4,3,3,1,2,3,5,3,2,3,3,3,62,"Clear data owners and APIs; coding-agent failure resolution is narrow outside betting and media workflows."
Retail/ecommerce catalog/pricing automation,18,4,3,3,4,3,4,3,2,4,2,2,2,3,4,5,3,2,3,3,3,62,"High workflow volume but low per-failure WTP and strong scraping/platform-API substitutes."
Cybersecurity vulnerability/compliance automation,19,4,3,4,3,3,4,3,4,3,3,3,3,3,4,5,5,2,3,4,2,60,"Public CVE/vendor/advisory data and internal-environment context solve many cases; proprietary threat intel is narrower."
Telecom/network standards automation,20,3,3,4,4,4,5,3,3,3,4,3,2,4,3,3,5,3,3,3,2,63,"Standards data is scarce and identifiable, but buyers are few and conformance/integration complexity is high."
Environmental/ESG reporting automation,21,3,3,4,4,4,4,3,4,3,3,4,2,3,3,3,4,3,3,3,3,64,"Growing compliance value, but many tasks are reporting/data engineering rather than coding failure resolution."
Pharmaceuticals regulatory/medical affairs automation,22,3,4,5,4,4,4,3,4,3,4,5,4,4,3,3,5,4,3,4,2,63,"High value, but validation, safety, privacy, and procurement burdens make a 90-day pilot difficult."
Real estate title/zoning/valuation automation,23,3,3,4,4,4,4,3,4,4,3,3,3,4,2,4,5,3,3,3,2,60,"Fragmented county/MLS/zoning data is real, but many sources are partly public and local integrations are messy."
Local-government systems/permitting,24,3,4,4,3,5,4,2,4,4,4,4,4,5,2,2,5,3,3,4,3,62,"Painful fragmented workflows, but budgets, procurement, privacy, and legacy systems make sales slow."
Energy permitting/grid/interconnection automation,25,3,3,5,3,4,4,2,4,3,4,5,3,4,2,3,5,4,3,3,2,59,"High economic cost but fragmented regulated data and utility integration make pilot scope hard."
Education/credential/compliance automation,26,2,3,3,3,3,4,3,3,3,3,3,4,3,3,3,4,2,3,3,3,57,"Lower coding-workflow frequency and high student-data sensitivity; many blockers are institutional policy."
