"company","category","product_status","funding_ownership","customer_type","technical_model","licensing_model","pricing_revenue_model","detects_failure_nodes","discovers_missing_data","licenses_access","measures_output_improvement","pays_data_owners","overlap_degree","ability_to_copy_or_internalize","role","evidence_source","access_date","evidence_label","notes"
"Cursor / Anysphere","AI coding-agent platforms","Live AI code editor and agent platform; Enterprise controls available","$2.3B Series D at $29.3B post-money announced Nov 2025","Individual developers; engineering teams; enterprises","IDE-native agent with repo context, tools, MCP, browser/network controls, code review and telemetry","Customer software subscription; MCP access controls; no public third-party data brokerage","Free/Pro/Pro+/Ultra/Teams/Enterprise; Teams $40 or $120 per user monthly; Enterprise custom","partial","partial","no","partial","no","high","high - owns editor telemetry and can add diagnosis or MCP recommendations","competitor/acquirer/channel","https://cursor.com/pricing; https://cursor.com/docs/account/teams/pricing; https://cursor.com/blog/series-d","2026-07-16","Verified","Strongest workflow incumbent; public evidence shows controls and tracking, not proprietary-data licensing."
"Anthropic Claude Code","AI coding-agent platforms","Live agentic coding product across terminal, IDE, Slack, web and integrations","Anthropic announced $65B Series H at $965B post-money in May 2026","Developers; teams; enterprises","CLI/IDE coding agent with tool execution and MCP connector support","Claude plan/API subscription; can connect authenticated MCP servers; no public brokerage","Included in paid Claude plans; API token billing available","partial","partial","partial","partial","no","high","high - model and agent vendor can integrate tool recommendation and direct partnerships","competitor/channel/acquirer","https://claude.com/product/claude-code; https://code.claude.com/docs/en/mcp; https://www.anthropic.com/news/series-h?hl=en-US","2026-07-16","Verified","Can consume licensed tools but no public claim of dynamic licensing from coding failures."
"Microsoft / GitHub Copilot","AI coding-agent platforms","Live Copilot agent, cloud agent, code review, enterprise AI controls and MCP policies","Microsoft-owned GitHub; Microsoft public company","Developers; GitHub Enterprise customers","Agent mode, cloud agent, Copilot CLI, code review, AI Controls, MCP registry allowlists and audit logs","Seat subscription plus usage credits; MCP policy governance; no public data-owner marketplace for failure resolution","Copilot Pro $10, Pro+ $39, Max $100; Business $19 per user; Enterprise $39 per user; AI Credits overage","partial","partial","partial","partial","no","high","very high - owns repos, CI, PRs, issues and enterprise governance","competitor/channel/acquirer","https://github.blog/news-insights/company-news/github-copilot-is-moving-to-usage-based-billing/; https://github.blog/changelog/2026-02-26-enterprise-ai-controls-agent-control-plane-now-generally-available/; https://docs.github.com/en/copilot/concepts/agents/enterprise-management","2026-07-16","Verified","Closest incumbent for enterprise control-plane and failure telemetry; licensing brokerage absent."
"Cognition / Devin","AI coding-agent platforms","Live autonomous software-engineering agent; enterprise customers reported","Raised over $1B at $25B pre-money / $26B post-money in May 2026 per TechCrunch","Enterprise engineering teams","Asynchronous autonomous agent that plans, codes, tests, debugs and integrates with PM/dev tools","Software subscription/enterprise contract; no public proprietary-data resale","Pricing not disclosed / enterprise custom","partial","partial","no","partial","no","high","high - autonomous agent telemetry gives strong failure signal","competitor/acquirer","https://techcrunch.com/2026/05/27/ai-coding-startup-cognition-raises-1b-at-25b-pre-money-valuation/","2026-07-16","Secondary","High internalization risk if missing-data diagnosis is valuable."
"Windsurf / Devin Desktop","AI coding-agent platforms","Windsurf business acquired by Cognition July 2025; product integrated with Cognition strategy","Cognition acquisition terms undisclosed; Google separately paid about $2.4B for talent/license","Developers; enterprises using IDE-based agentic coding","Agentic IDE with codebase context and agent features","Software subscription; no public third-party data brokerage","Pricing not disclosed here; historically subscription tiers","partial","partial","no","partial","no","medium","high - now inside Cognition","competitor/substitute/acquirer asset","https://cognition.com/blog/windsurf; https://www.reuters.com/legal/transactional/cognition-ai-buy-windsurf-doubling-down-ai-driven-coding-2025-07-14/","2026-07-16","Verified/Secondary","Windsurf saga shows strategic coding-agent assets are quickly internalized."
"Augment Code","AI coding-agent platforms","Live enterprise AI coding platform with Cosmos/Auggie CLI and code review","$227M Series B at $977M post-money; $252M total announced Apr 2024","Enterprise software teams; large codebases","Codebase context engine, agent/CLI, remote compute, code review","Customer subscription plus metered LLM/compute usage; no public third-party data brokerage","Business $100 monthly up to 50 seats with $100 usage; LLM list price plus 40 percent service fee; Cosmos $0.19 per hour; Enterprise custom","partial","partial","no","partial","no","medium","medium-high - can add data recommendations through context engine","competitor/channel","https://www.augmentcode.com/pricing; https://docs.augmentcode.com/models/token-based-pricing; https://www.augmentcode.com/blog/augment-inc-raises-227-million","2026-07-16","Verified","Enterprise orientation makes it plausible channel for vertical licensed MCP tools."
"OpenAI / Codex","Model providers","Live Codex coding product and API models","$122B committed capital at $852B post-money announced Mar 2026; OpenAI Group PBC controlled by OpenAI Foundation","Developers; businesses; enterprises; AI builders","Coding models, Codex CLI/SDK/IDE, ChatGPT Work, web/file/computer tools","API and ChatGPT plan usage; connectors; no public data-owner payment layer for coding failures","Token/credit billing; Business $20 per user annually; Enterprise custom; model API rates vary","partial","partial","partial","partial","no","high","very high - can internalize diagnosis and partner directly with data owners","competitor/acquirer/supplier","https://openai.com/index/accelerating-the-next-phase-ai/; https://developers.openai.com/codex/pricing; https://developers.openai.com/api/docs/models","2026-07-16","Verified","Substitute via stronger model/tooling; channel via Codex integrations."
"Anthropic model platform","Model providers","Live Claude API, managed agents and MCP connector","$65B Series H at $965B post-money announced May 2026","AI app developers; enterprises; agent builders","Claude models with tool use, managed agents, remote MCP connector","API token billing; enterprise contracts; can call authenticated MCP tools","Claude/API pricing varies by model; enterprise custom","partial","partial","partial","partial","no","high","high - can build native missing-context recommendations and direct data partnerships","competitor/channel/supplier","https://platform.claude.com/docs/en/agents-and-tools/mcp-connector; https://www.anthropic.com/news/series-h?hl=en-US","2026-07-16","Verified","Relevant as model/runtime supplier even when not the coding UI."
"Google / Gemini Code Assist and Vertex AI","Model providers","Live Gemini Code Assist for teams; Vertex/Gemini APIs and grounding","Alphabet-owned Google","Developers; Google Cloud customers; enterprises","IDE/CLI coding assistant, agent mode preview, Vertex models, search/maps grounding","Seat licenses and API billing; Google Search/Maps grounding; no public data-owner brokerage for coding failures","Gemini Code Assist Standard $22.80 monthly or $19 annual; Enterprise $54 monthly or $45 annual; grounding overages published","partial","partial","partial","partial","no","medium-high","high - Google can combine models, cloud, search and marketplace","competitor/supplier/acquirer","https://codeassist.google/products/business; https://developers.google.com/gemini-code-assist/docs/overview; https://ai.google.dev/gemini-api/docs/pricing","2026-07-16","Verified","Strong substitute where Google grounding/public search is enough."
"Microsoft Azure AI Foundry","Model providers","Live model router and agent platform capabilities","Microsoft public company","Enterprise AI builders and developers","Model Router selects model per turn for cost/quality; integrates with Foundry Agent Service and tools","Azure consumption; underlying model charges plus router input fee","Model Router billed by underlying model plus routing input fee; exact totals depend on model mix","partial","partial","partial","partial","no","medium","high - enterprise cloud can internalize routing and marketplace access","supplier/competitor/channel","https://learn.microsoft.com/en-us/azure/foundry/openai/concepts/model-router; https://learn.microsoft.com/en-us/azure/foundry/openai/how-to/model-router-agents","2026-07-16","Verified","Optimizes model selection, not proprietary-data procurement."
