vertical,freq_need,cost_of_bad_info,data_scarcity,free_substitutes,rights_fragmentation,willingness_to_pay,sales_cycle,tech_integration,regulatory_complexity,publisher_cooperation,pilot_suitability,overall_score,recommendation_rank,notes
legal,8,9,7,6,8,8,8,6,5,5,6,6.5,,"High-value trial-court and docket gaps, but fragmented rights and incumbent legal research platforms slow pilots."
finance,9,9,8,5,6,9,7,7,7,4,5,6.3,,"Strong demand and willingness to pay, but premium data owners increasingly sell direct or bundle into first-party finance agents."
insurance,7,8,7,5,6,8,8,7,7,4,4,5.8,,"Underwriting and claims agents need proprietary risk data, but procurement and compliance cycles are slow."
real estate,8,7,6,6,5,7,5,4,4,7,7,6.9,,"ATTOM and Shovels show property/permit data owners can expose API/MCP directly; pilotable mostly as reseller/micro-metering."
construction,7,8,8,4,7,7,6,5,4,5,7,6.7,,"RSMeans-style cost data is scarce and valuable, but seat subscriptions and first-party AI estimating create cannibalization fear."
healthcare,9,10,8,4,8,8,9,8,10,3,3,5.1,,"Clinical stakes are highest, but regulatory complexity, privacy, and incumbent publisher deals make this a poor first pilot."
pharmaceuticals,8,10,8,4,7,9,8,7,9,4,4,5.4,,"Trial and drug intelligence is valuable, but Norstella/DrugBank/Wolters Kluwer-style owners increasingly build direct agent surfaces."
logistics,8,8,8,4,5,8,5,5,4,6,8,7.4,2,"Freight-rate benchmarks are scarce and API-friendly; restrictive licensing is the main obstacle."
procurement,8,7,6,5,6,8,5,4,5,6,8,7.1,,"Supplier discovery and risk workflows are agent-native; Thomasnet/Zip evidence is strong, but monetization may be ads or direct integrations."
cybersecurity,9,9,6,5,4,8,4,3,4,8,7,7.0,,"Threat-intel data is machine-native and urgent, but GreyNoise/VulnCheck already expose MCP/API directly."
energy,7,9,8,3,6,8,8,7,6,4,4,5.5,,"Bad data is expensive, but Enverus/WoodMac-like suppliers are enterprise-gated and often building their own AI."
scientific research,7,7,7,7,9,5,8,6,4,3,3,4.5,,"Paywalled full text is a real gap, but rights fragmentation and open substitutes depress pilotability."
compliance,9,10,7,4,4,8,4,3,8,8,9,7.9,1,"Best first pilot: public per-query pricing, clear audit value, OpenSanctions MCP/API path; exchange value must exceed direct integration."
market intelligence,8,6,6,6,5,7,5,4,3,7,7,6.8,,"Similarweb and CB Insights show demand, but direct MCP/API access weakens the broker thesis."
private-company research,8,7,8,4,5,8,5,4,4,7,8,7.3,3,"Tracxn redistribution licensing and PrivCo-style financial estimates fit a metered data exchange better than most finance data."
automotive repair,7,8,8,4,4,7,6,5,4,5,6,6.5,,"MOTOR has wholesale API licensing, while Mitchell/Identifix seat models raise cannibalization risk."
industrial equipment,6,9,8,3,8,7,7,6,5,4,5,5.2,,"High cost of bad repair/procedure data, but OEM manuals and standards are fragmented and rights-heavy."
travel,9,6,5,7,5,6,5,4,4,6,6,5.8,,"OAG/Cirium data is API-ready, but many free or consumer-facing substitutes cap price."
sports,8,5,5,7,3,5,4,3,2,7,5,5.0,,"Official data is licensable and API-based, but existing packages and low regulatory stakes make it a weak exchange wedge."
local government data,6,6,7,6,10,4,7,7,5,5,4,4.8,,"Scarcity is real, but jurisdiction fragmentation and low willingness to pay make aggregation costly."
