"company","product","workflow","proprietary_data_gap","likely_rights_holder","supporting_evidence_url","estimated_commercial_value","outreach_angle","confidence_level","notes"
"Harvey","Ask LexisNexis / Harvey legal workflows","Legal research, drafting, motions, litigation analysis","Authoritative primary law, citators, practice guidance outside Harvey's own model context","LexisNexis; SCC Online and other jurisdictional legal publishers","https://www.lexisnexis.com/community/pressroom/b/news/posts/lexisnexis-and-harvey-announce-strategic-alliance-to-integrate-trusted-high-quality-ai-technology-and-legal-content-and-develop-advanced-workflows","Inference: high; legal answers have direct client-value and malpractice-risk implications","Offer incremental non-Lexis jurisdictional/legal-data routing with audit logs and entitlements","high","Paid add-on evidence exists; likely already negotiates direct deals, so exchange value is incremental coverage not core US law."
"Thomson Reuters","CoCounsel Legal","Agentic legal research, drafting, tax, compliance, professional workflows","Non-TR firm knowledge plus external legal/regulatory data outside Westlaw and Practical Law","Customer DMS; court dockets; ALM; LexisNexis; regulatory publishers","https://legal.thomsonreuters.com/en/products/cocounsel-legal","Inference: high for TR's own platform, low for an outside broker","Position as a source adapter for specialty non-TR datasets where customers already hold rights","medium","Large incumbent owns major rights and will internalize; target mainly for partnership/acquisition logic."
"EvenUp","Piai / Demands / Claims Intelligence Platform","Personal injury intake, medical chronologies, settlement demand drafting","Medical records, ICD-coded injuries, verdict/settlement benchmarks, provider billing, insurance-policy data","Health systems/providers; court/verdict databases; insurers; medical coding/reference publishers","https://www.evenuplaw.com/piai/","Inference: high; case value, settlement timing, and demand packages map to ROI","Pilot verdict/settlement and medical-reference data as licensed modules with line-level citations","high","Strong public evidence of AI built on PI dataset; no proof they need external exchange, but gap is clear."
"Spellbook","AI Contract Review and Drafting","Contract review, drafting, market-standard comparison, playbook enforcement","Market-standard clause benchmarks, industry-specific contract norms, regulatory updates","Law firms; CLM repositories; Practical Law/Thomson Reuters; LexisNexis; anonymized contract-data consortia","https://spellbook.com/playbooks","Inference: medium; contract teams pay for productivity but may rely on customer playbooks","Offer rights-cleared market-standard clause benchmark packs by industry and geography","medium","Evidence of playbooks and market comparison; less direct evidence of third-party licensed data buying."
"Luminance","Legal-Grade AI / Autonomous Negotiation","Contract review, auto markup, agent-to-agent negotiation","Negotiation history, industry clause norms, jurisdiction-specific enforceability guidance","Customer contract repositories; legal publishers; anonymized negotiation datasets","https://www.luminance.com/negotiate/","Inference: medium-high for enterprise contract automation","Pitch licensed external clause norms and regulatory packs that complement customer gold standards","medium","Strong agent evidence; likely emphasizes proprietary/customer data more than third-party marketplace."
"Robin AI","Robin Playbooks / Contract Copilot","Contract negotiation, redlining, repository search","Customer playbooks, signed contracts, precedent clauses, benchmark terms","Customer contract stores; commercial contract datasets; legal publishers","https://robinai.com/news-and-resources/blog/robin-expands-playbooks-smarter-contract-negotiations","Inference: medium; legal teams pay for review time saved","Offer market-standard and jurisdictional add-ons without training on customer contracts","medium","Public evidence of contract AI and playbooks; WTP for third-party data is inferred."
"UpCodes","Copilot / Plan Review","Building-code research and AI-native plan review","Locally adopted building codes, amendments, standards, assemblies, product/spec data","ICC; NFPA; IAPMO; ASTM/ANSI; local jurisdictions; product manufacturers","https://support.up.codes/support/solutions/articles/63000277619-intro-to-copilot","Inference: high; compliance errors are expensive and citation-backed answers matter","Pilot additional standards/product-data licensing with per-project citation and audit trail","high","Very strong narrow vertical fit; UpCodes already owns/aggregates a large code library."
"FiscalNote","PolicyNote API and MCP","Legislative/regulatory monitoring, policy Q&A, compliance agents","Global legislative, regulatory, stakeholder, transcript, and local-government data","FiscalNote/CQ/Roll Call; government bodies; regulatory publishers","https://fiscalnote.com/products/policynote-api","Inference: medium-high; policy/compliance teams buy subscriptions","Partnership pitch as downstream distribution to non-FiscalNote agents, not as buyer","medium","Already provides API/MCP; more likely supplier/competitor than customer."
"Rogo","Rogo AI platform","Investment banking research, pitch decks, CIMs, comps, investment memos","S&P Capital IQ, LSEG, FactSet, PitchBook, Preqin, Third Bridge, Crunchbase, internal deal data","Financial-data vendors; expert networks; customer CRMs/file stores","https://rogo.ai/news/announcing-our-strategic-partnership-with-lseg","Inference: very high; finance workflows have established data budgets","Offer mid-tail data-provider onboarding and entitlement routing for sources beyond existing partnerships","high","Excellent proof of proprietary-data need; likely has direct BD muscle."
"Hebbia","Deeper Research / Matrix / Skills","Multi-step finance/legal diligence over internal and external data","PitchBook, S&P Capital IQ, FactSet, Preqin, expert calls, ratings/pricing, VDR data","PitchBook; S&P Global; FactSet; Preqin; Third Bridge; Guidepoint; customer systems","https://www.hebbia.com/blog/inside-hebbias-deeper-research-agent","Inference: very high; diligence workflows justify premium data spend","Pitch as single rights/metering layer for new data providers requested by customers","high","Strong evidence of multi-source agent workflow and data-provider integrations."
