id,failure_mode,description,probability,severity,leading_indicator,mitigation,existential,category
"F01","No repeatable paid agent-buyer demand","Agents need better data but buyers will not pay an independent exchange enough above direct APIs, subscriptions, or cloud marketplaces.","High","Critical","Pilots generate usage but buyers refuse post-pilot markup or platform fee.","Run only paid pilots with pre-agreed success metrics and renewal pricing; kill verticals that cannot support markup.","yes","Demand"
"F02","Platform internalization","OpenAI, Anthropic, Google, Microsoft, AWS, Snowflake, Databricks, Cloudflare, or Stripe absorbs the valuable layer before the exchange scales.","High","Critical","Buyers ask to wait for native connectors, cloud listings, or model-platform source access.","Build vertical workflow, licensing, audit, and outcome assets that can interoperate with platforms instead of competing only on infrastructure.","yes","Platform"
"F03","Chain-of-title failure","A publisher licenses content it does not own or cannot sublicense for AI retrieval, causing buyer claims and reputational collapse.","Medium","Critical","Catalog contains wire content, freelancer work, UGC, images, or third-party datasets with unclear rights.","Rights diligence, source-slice exclusions, warranties, indemnity, insurance pool, and audit of publisher rights.","yes","Supply"
"F04","Antitrust hub-and-spoke pricing defect","The exchange pools nonpublic publisher price or revenue data and recommends prices in a RealPage-like pattern.","Medium","Critical","Product requirements include optimal market pricing from competitor data or publisher price floors.","Publisher-set prices only; no nonpublic cross-publisher pricing recommendations; antitrust counsel review.","yes","Legal"
"F05","Unfavorable legal rulings reduce licensing need","Courts bless market-substituting AI retrieval/training or user-delegated access, making unlicensed access look safe enough.","Medium","Critical","Buyer counsel downgrades copyright/CFAA risk after Ross or Perplexity-style appellate rulings.","Focus on quality, audit, indemnity, and SLAs where licensed access has value beyond legal risk.","yes","Legal"
"F06","Cloudflare/CDN edge monetization owns enforcement","CDNs/gateways enforce paid access at the edge and control publisher monetization before an independent exchange gains leverage.","High","High","Publishers prefer Cloudflare, Akamai, Fastly, or AWS edge payment controls for all paid calls.","Partner with edge providers; focus on demand-side workflow routing and vertical source quality.","no","Platform"
"F07","MCP registry commoditizes discovery","Open MCP registries and source-published MCP servers make a proprietary catalog undifferentiated.","High","High","Target sources publish free MCP metadata and buyers discover them through default registries.","Treat MCP as adapter; differentiate with rights, settlement, audit, quality, and outcome data.","no","Technical"
"F08","Payment rails commoditize settlement","x402, MPP, Stripe, card, ACH, and cloud billing reduce payment handling to a commodity service.","High","Medium","Buyers and publishers ask why the exchange charges beyond standard processor fees.","Use payment partners and avoid positioning settlement as the moat; charge for licensing, QA, audit, and routing.","no","Economics"
"F09","Publishers go direct","Premium rights holders publish APIs/MCP servers or sign direct AI/cloud deals, skimming the best supply from the exchange.","High","High","Target publishers request only referral traffic or list elsewhere without exclusivity.","Serve mid-tail specialized sources; offer onboarding, billing, and quality services that direct APIs lack.","no","Supply"
"F10","Publisher multi-homing compresses take rate","Publishers list across multiple exchanges, clouds, and CDNs, forcing the platform fee down.","High","High","Publishers compare channel fees and demand lower take rates or guarantees.","Keep costs low; earn fees from workflow/audit value; avoid relying on exclusivity.","no","Economics"
"F11","Buyer multi-homing limits volume","Buyers route only a subset of calls through the exchange and use existing subscriptions or direct APIs for the rest.","High","High","Buyer source logs show most successful retrievals bypass the exchange.","Win specific workflows; provide unified audit and budget controls that make fragmented access painful.","no","Demand"
"F12","Paid source does not improve outcomes","The source is licensed and technically accessible but does not measurably improve task success, citation quality, or time saved.","Medium","Critical","A/B tests show no uplift or paid calls correlate with more manual review.","Pre-register metrics; run shadow tests; drop sources that do not beat baseline after fair evaluation.","yes","Trust"
"F13","Buyer telemetry unavailable","Buyers will not share prompts, traces, outcomes, or human-review labels, preventing demand graph and uplift proof.","High","High","Security/legal review prohibits storing raw traces or outcome labels.","Store normalized metadata, use buyer-owned trace pointers, support private deployment and opt-in aggregation.","no","Demand"
"F14","Data-broker/Delete Act exposure ignored","The exchange brokers personal-data-bearing datasets and becomes a data broker without registration or deletion workflows.","Medium","High","Catalog expands into people data, news archives, or enrichment data without broker-status analysis.","Get legal determination; exclude people-data at launch; build DROP/deletion workflow if required.","no","Privacy"
"F15","GDPR erasure cannot reach caches or embeddings","Personal data in cached responses or vector indexes cannot be reliably deleted or corrected.","Medium","High","Deletion requests require manual engineering or leave orphaned vectors.","License-aware cache/index inventory; deletion queue; avoid buyer-hosted embeddings in MVP.","no","Privacy"
"F16","Money-transmission/payment custody violation","The exchange holds buyer balances and pays publishers without a licensed partner or valid exemption.","Medium","High","Finance design includes prepaid wallet controlled by platform bank account.","Use Stripe Connect/Adyen/ACH partner; agent-of-payee structure; payments counsel before launch.","no","Payments"
"F17","Sanctions/KYB failure","A sanctioned or fraudulent buyer/publisher transacts through the marketplace.","Low","High","Manual onboarding skips beneficial ownership or continuous screening.","KYB/KYC vendor, sanctions screening, geo-blocking, periodic rescreening, immediate suspension.","no","Compliance"
"F18","Tax/VAT/withholding failure","Marketplace facilitator, VAT reverse-charge, or publisher withholding obligations are missed.","Medium","Medium","Finance cannot produce tax reports by jurisdiction or publisher status.","Use tax engine and payments partner; collect W-8/W-9/VAT IDs; start with limited jurisdictions.","no","Operations"
"F19","Sponsored discovery trust collapse","Paid placement influences source selection without adequate disclosure, causing buyer and user distrust.","Medium","High","Buyers ask whether high-ranked sources are sponsored or users complain about ads in answers.","Postpone sponsored discovery; disclose material connections; never override quality floors.","no","Trust"
"F20","Attribution/citation failures","Agents omit required citations or display them incorrectly, breaching license and undermining publisher trust.","Medium","High","Publisher audits find missing source names, links, or date/title metadata in buyer UI.","Return mandatory citation payloads; sample UI rendering; contractually require display.","no","Trust"
"F21","Hallucination despite licensed data","Model answers distort or overstate licensed source content, making the source appear wrong or misleading.","High","High","Human reviewers find source-supported citations attached to unsupported claims.","Grounded-answer verifier, quote boundaries, source snippets, HITL for high-risk tasks, buyer disclaimers.","no","Trust"
"F22","Prompt or trace leakage","Sensitive buyer prompts, privileged material, PHI, supplier data, or trade secrets are exposed to publishers or logs.","Medium","High","Logs contain raw prompts or source adapters receive unnecessary context.","Data minimization, field-level redaction, tenant isolation, DPA, private deployment for sensitive workflows.","no","Security"
"F23","Cross-tenant cache bleed","A cached source response licensed to one buyer or user is served to another without rights.","Low","Critical","Cache keys omit tenant, user, license, or region scope in review.","License-aware cache keys, private cache default, automated tests for cross-user bleed.","yes","Technical"
"F24","Revocation or takedown failure","The exchange continues serving content after license expiration, correction, takedown, or privacy deletion request.","Medium","High","Revocation requests require manual tickets and no SLA measurement.","Revocation service, purge queue, source disable switch, buyer notifications, deletion certificates.","no","Technical"
