company,dataset,access_model,public_price,api_available,mcp_available,ai_policy,current_customer_base,cannibalization_fear,workflow_match,deal_structure,negotiation_difficulty,confidence,evidence_url,notes
"OpenSanctions","Sanctions, PEP, watchlist, ownership-linked risk entities from 410+ sources","Hosted pay-per-query API, bulk license, reseller/OEM license","EUR 0.10 per successful match/search/reconcile query; volume discounts above 20000 req/mo","yes","yes via yente-client MCP server","Commercial use requires license; open non-commercial data","Compliance teams, investigative users, resellers, software providers","low","Supplier onboarding, KYC/KYB, sanctions screening agents","Reseller/OEM license plus exchange metering and audit logs","1","high","https://www.opensanctions.org/faq/api/metering/","Best pilot-ready supplier, but direct API/MCP weakens need for broker."
"UniCourt","Normalized state and federal court records, PACER access, judge/attorney analytics","SaaS subscription plus enterprise API","API custom; subscription plans public but not sufficient for API","yes","no","No explicit AI-agent policy found","Law firms, insurers, legal-tech and investigation teams","low-medium","Litigation research, background checks, insurance underwriting agents","Metered court-record and analytics API resale with court-fee pass-through","3","high","https://unicourt.com/solutions/enterprise-api","140M+ court records claim from source; good legal API-first target."
"Trellis","State and federal trial court data, filings, dockets, judge analytics","Subscription plus Trial Court Data API","not public","yes","no","No explicit AI-agent policy found","Litigation teams and legal-tech users","low-medium","State-court litigation strategy and docket-monitoring agents","Metered API access with jurisdiction/field gating","3","high","https://trellis.law/legal-data-api","Strong state-court gap; legal procurement still slower than compliance."
"Tracxn","Private-company profiles, funding rounds, acquisitions, legal entities, taxonomies","Subscription plus APIs, data dumps, cloud delivery, redistribution/commercial packs","custom; volume-based by unique companies accessed","yes","no","No explicit AI policy found; redistribution packs are published","VC, PE, corp-dev, consulting, sales and innovation teams","low-medium","Deal sourcing, diligence, market-mapping and sales-intelligence agents","Commercial redistribution pack metered by unique companies and field depth","3","high","https://w.tracxn.com/offerings/api","One of the cleanest contractual fits because redistribution pricing is explicitly described."
"PrivCo","US private-company financial estimates, M&A terms, ownership signals","Subscription and API according to vendor/market listings","not public","yes","no","No explicit AI-agent policy found","Private-market investors, corp-dev, diligence teams","medium","Private-company diligence and valuation agents","Per-company lookup pricing with field-level entitlements","3","medium","https://www.privco.com/","Promising mid-size target; exact API terms require direct verification."
"Daloopa","Audit-ready public-company fundamentals linked to filings","Subscription, API, official remote MCP server","not public","yes","yes","Actively markets agent/MCP access","Investment research and financial modeling teams","low","Financial-modeling agents","Reseller/channel only; direct agent access already exists","2","high","https://daloopa.com/products/mcp","Good evidence of demand, weak evidence for intermediary need."
"AlphaSense","Broker research, expert-call transcripts, company documents, GenAI search corpus","Enterprise subscription, Agent API, reference MCP server","not public","yes","yes","Sells its own agent surface","Enterprise finance, consulting, corporate strategy teams","high","Investment research and market-intel agents","Unlikely supply; possible buyer/channel only","8","high","https://developer.alpha-sense.com/agent-api/mcp-server","Strategic lock-up; not an early supplier."
"GreyNoise","Internet scanning telemetry, IP reputation, exploited-vulnerability intelligence","Subscription, API, official MCP server","not public","yes","yes","Explicitly targets agentic SOC workflows","Security operations teams, enterprises, governments","low","SOC alert triage, threat investigation, vulnerability prioritization agents","Reseller/channel only; direct MCP exists","2","high","https://www.greynoise.io/press/greynoise-intelligence-launches-model-context-protocol-mcp-server-power-future-of-agentic-soc","Excellent machine-native data, but already agent-ready."
"VulnCheck","Vulnerability, exploit, KEV and initial-access intelligence","API and official open-source MCP server","not public","yes","yes","Agent-friendly MCP posture","Security teams and vulnerability-management users","low","Patch prioritization and exploit-intel agents","Reseller/channel only; direct MCP exists","2","high","https://github.com/vulncheck-oss/mcp","Already exposes MCP; exchange adds little beyond bundling."
"Shodan","Internet-exposed device and service scan data, CVE database","Self-serve API membership and tiers","public tiers on site; exact current tier not restated here","yes","community only","No explicit AI-agent policy found","Security researchers, developers, asset-discovery users","low","Attack-surface and reconnaissance agents","Low-cost reseller or sponsored discovery; little need for broker","4","medium-high","https://developer.shodan.io/","Cheap self-serve API is a substitute."
