scenario,price_per_retrieval_usd,publisher_payout_pct,platform_take_pct,publisher_payout_usd,payment_processing_usd,model_tool_usd,infra_usd,security_usd,support_usd,legal_alloc_usd,eval_alloc_usd,failed_refund_alloc_usd,gross_margin_pct,contribution_margin_pct,breakeven_monthly_volume,fixed_monthly_overhead_usd,min_viable_monthly_volume,notes,assumptions
card_per_call_001,0.01,50,50,0.005,0.30029,0.001,0.0005,0.0005,0.002,0.001,0.001,0.0005,-2967.9,-3017.9,N/A,50000,N/A,"Fails immediately; card fee exceeds revenue by about 30x before rights-holder payout.","Stripe-style 2.9% + $0.30 charged on each retrieval; illustrative publisher payout."
card_per_call_010,0.10,50,50,0.05,0.3029,0.002,0.001,0.001,0.005,0.002,0.002,0.002,-255.9,-267.9,N/A,50000,N/A,"Fails; true card-per-call micropayment is structurally uneconomic.","Stripe-style 2.9% + $0.30 charged on each retrieval; no invoice aggregation."
card_per_call_025,0.25,50,50,0.125,0.30725,0.0025,0.0015,0.0015,0.006,0.003,0.003,0.005,-74.5,-82.3,N/A,50000,N/A,"Fails despite higher price; fixed card fee still larger than platform spread.","Stripe-style 2.9% + $0.30 charged on each retrieval."
card_per_call_100,1.00,60,40,0.60,0.329,0.005,0.003,0.005,0.020,0.010,0.010,0.020,6.3,-0.2,N/A,60000,N/A,"Near-zero contribution when paid per card call and rights-holder payout is high.","Stripe-style card charge per retrieval; premium provider keeps 60%."
card_per_call_1000,10.00,60,40,6.00,0.59,0.020,0.010,0.030,0.120,0.050,0.050,0.200,33.8,29.3,20478,60000,25000,"Unit economics become viable, but demand is narrow and buyer expects high-stakes value.","Stripe-style card charge per retrieval; premium decision-support query."
prepaid_wallet_001,0.01,50,50,0.005,0.00032,0.001,0.0005,0.0003,0.001,0.0005,0.0005,0.0005,31.8,3.8,131578947,50000,10000000,"Only barely positive if payment fee is aggregated; still cannot carry enterprise overhead.","$100 prepaid card charge allocated across 10000 one-cent retrievals; legal review required for wallet/stored-value structure."
prepaid_wallet_open_api_cost_plus_25pct,0.1375,80,20,0.11,0.0044,0.002,0.001,0.001,0.003,0.002,0.002,0.001,14.6,8.0,4545455,50000,1000000,"Transparent cost-plus fee on an OpenSanctions-like EUR 0.10 source is clean but thin.","Assumes EUR 0.10 roughly $0.11; buyer pays source cost plus 25% service fee; payment aggregated through card-funded budget."
monthly_invoice_010_low_cost_source,0.10,40,60,0.04,0.0002,0.002,0.001,0.001,0.004,0.002,0.002,0.002,56.8,45.8,1091703,50000,500000,"Can work only if source cost is far below OpenSanctions-like list price and volume is high.","ACH/monthly invoice allocation; low-cost public/private source; no human review per call."
monthly_ach_invoice_025,0.25,50,50,0.125,0.0005,0.0025,0.0015,0.001,0.004,0.002,0.002,0.003,48.2,43.4,460829,50000,250000,"Viable at high volume under invoice/ACH; still needs enterprise minimums for pilot overhead.","Aggregated monthly invoice; provider keeps 50%; automated retrieval and audit."
monthly_invoice_100_premium_blend,1.00,55,45,0.55,0.001,0.005,0.003,0.003,0.015,0.008,0.010,0.020,44.1,38.5,129870,50000,50000,"First broadly plausible per-retrieval tier for premium multi-source checks.","ACH/monthly invoice; two sources; no per-call human review."
enterprise_minimum_100,1.00,45,55,0.45,0.001,0.005,0.003,0.005,0.030,0.020,0.020,0.020,54.1,44.6,56054,25000,25000,"Annual/monthly platform minimum reduces breakeven pressure and funds fixed compliance work.","$120k annual minimum covers control-plane overhead; usage billed monthly."
enterprise_platform_contract_usage_equiv_025,0.25,40,60,0.10,0.0002,0.002,0.001,0.001,0.003,0.002,0.003,0.002,58.7,54.3,184502,25000,100000,"Best framed as enterprise software plus data pass-through, not a pure marketplace take.","$100k annual platform contract covers integration/audit; retrieval price is effective included quota/overage."
transparent_buyer_service_fee_25pct_on_list_source,0.1375,80,20,0.11,0.0002,0.002,0.001,0.001,0.003,0.002,0.002,0.001,17.7,11.1,3278689,50000,1000000,"Better buyer trust than opaque split, but contribution is too thin without platform fee or large volume.","OpenSanctions-like $0.11 source cost; buyer sees cost-plus 25%; monthly invoice."
opaque_80_20_marketplace_split_list_api,0.1375,80,20,0.11,0.0002,0.002,0.001,0.001,0.004,0.003,0.002,0.001,17.7,9.6,3787879,50000,1000000,"Economically similar to service fee but weaker positioning if buyer can buy direct.","Retail split hides list-priced source cost; structured API already has public price."
multi_source_brokerage_100,1.00,35,65,0.35,0.001,0.005,0.004,0.004,0.020,0.010,0.015,0.020,64.0,57.1,87566,50000,50000,"Attractive only because broker adds multi-source routing, audit, and outcome measurement.","Compliance/KYB bundle using OpenSanctions-like source plus complementary company/risk attribute provider."
high_value_1000_invoice,10.00,50,50,5.00,0.005,0.020,0.010,0.020,0.100,0.050,0.050,0.200,49.7,45.5,13201,60000,5000,"Strong per-unit economics; narrower demand, higher liability, more direct-provider competition.","ACH/invoice; high-stakes legal/healthcare/construction/compliance decision-support call."
failed_refunded_retrieval_100,1.00,45,55,0.45,0.001,0.010,0.004,0.003,0.020,0.005,0.020,0.200,53.5,28.7,174216,50000,100000,"False positives and non-resolution credits can destroy otherwise plausible economics.","20% equivalent failed/refunded allocation; provider bills successful calls; buyer credits unresolved broker-triggered events."
open_source_baseline_free_to_buyer,0.00,0,0,0.00,0.0000,0.002,0.001,0.001,0.003,0.001,0.002,0.000,N/A,N/A,N/A,50000,N/A,"Useful baseline but not revenue; must be compared against paid source lift.","Public lists/docs/search; costs are broker evaluation/integration costs."
direct_api_buyer_bypasses_broker,0.00,0,0,0.00,0.0000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,N/A,N/A,N/A,0,N/A,"Kill-case for brokerage if buyer only needs provider API key or MCP wrapper.","Buyer contracts directly with OpenSanctions/data owner; broker loses revenue unless it sells audit/eval platform separately."
